candidate,race,as_of,bucket_numeric,scandal_severity,positive_pct,negative_pct,total_mentions
Gallego,Arizona Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
Lake,Arizona Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
Cortez Masto,Nevada Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
Laxalt,Nevada Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
Ossoff,Georgia Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
Collins,Georgia Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
Peters,Michigan Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
Rogers,Michigan Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
Fetterman,Pennsylvania Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
McCormick,Pennsylvania Senate 2026,2026-05-19,0,0.0,0.0,0.0,0
