poll_id,pollster,subject,start_date,end_date,sample_size,population,partisan,choice,pct,source
senate-az-fox-2026-05-01,Fox News,Arizona Senate 2026,2026-05-01,2026-05-04,1006,lv,false,Gallego,48.0,https://votehub.com
senate-az-fox-2026-05-01,Fox News,Arizona Senate 2026,2026-05-01,2026-05-04,1006,lv,false,Lake,43.0,https://votehub.com
senate-az-emerson-2026-04-15,Emerson College,Arizona Senate 2026,2026-04-15,2026-04-17,750,lv,false,Gallego,47.0,https://votehub.com
senate-az-emerson-2026-04-15,Emerson College,Arizona Senate 2026,2026-04-15,2026-04-17,750,lv,false,Lake,44.0,https://votehub.com
senate-nv-emerson-2026-05-02,Emerson College,Nevada Senate 2026,2026-05-02,2026-05-04,800,lv,false,Cortez Masto,46.0,https://votehub.com
senate-nv-emerson-2026-05-02,Emerson College,Nevada Senate 2026,2026-05-02,2026-05-04,800,lv,false,Laxalt,47.0,https://votehub.com
senate-ga-quinnipiac-2026-04-28,Quinnipiac,Georgia Senate 2026,2026-04-28,2026-05-01,1050,lv,false,Ossoff,45.0,https://votehub.com
senate-ga-quinnipiac-2026-04-28,Quinnipiac,Georgia Senate 2026,2026-04-28,2026-05-01,1050,lv,false,Collins,46.0,https://votehub.com
senate-mi-epic-2026-04-20,EPIC-MRA,Michigan Senate 2026,2026-04-20,2026-04-23,600,lv,false,Peters,47.0,https://votehub.com
senate-mi-epic-2026-04-20,EPIC-MRA,Michigan Senate 2026,2026-04-20,2026-04-23,600,lv,false,Rogers,44.0,https://votehub.com
senate-pa-fox-2026-05-03,Fox News,Pennsylvania Senate 2026,2026-05-03,2026-05-06,1003,lv,false,Fetterman,44.0,https://votehub.com
senate-pa-fox-2026-05-03,Fox News,Pennsylvania Senate 2026,2026-05-03,2026-05-06,1003,lv,false,McCormick,45.0,https://votehub.com
