Date Range,Grade,Pollster,Subject,Sponsor,Sample Size,Sample Type,Population,Weight,Leading Result,Leading %,Trailing Result,Trailing %,Spread
Jun. 19-22,,YouGov,Donald Trump,The Economist,1517,,rv,,Disapprove,58%,Approve,39%,19.0
Jun. 19-22,,YouGov,Donald Trump,The Economist,1679,,a,,Disapprove,58%,Approve,36%,22.0
Jun. 18-22,,Ipsos,Donald Trump,Reuters,978,,rv,,Disapprove,64%,Approve,34%,30.0
Jun. 18-22,,Echelon Insights,Donald Trump,,1003,,lv,,Disapprove,58%,Approve,41%,17.0
Jun. 17-22,,Verasight,Donald Trump,Strength in Numbers,2087,,a,,Disapprove,60%,Approve,37%,23.0
Jun. 19-22,,Morning Consult,Donald Trump,,2200,,rv,,Disapprove,54%,Approve,43%,11.2
Jun. 18-22,,Quinnipiac University,Donald Trump,,1165,,rv,,Disapprove,55%,Approve,38%,17.0
Jun. 19-21,,J.L. Partners,Donald Trump,Daily Mail,1042,,rv,,Disapprove,53%,Approve,47%,6.0
Jun. 16-20,,American Research Group,Donald Trump,,1006,,rv,,Disapprove,67%,Approve,30%,37.0
Jun. 16-20,,American Research Group,Donald Trump,,1100,,a,,Disapprove,66%,Approve,30%,36.0
Jun. 17-19,,YouGov,Donald Trump,CBS News,2519,,a,,Disapprove,62%,Approve,38%,24.0
Jun. 10-18,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,55%,Approve,43%,12.0
Jun. 16-17,,Quantus Insights,Donald Trump,,1000,,lv,,Disapprove,56%,Approve,43%,13.0
Jun. 11-17,,AP-NORC,Donald Trump,,3040,,a,,Disapprove,62%,Approve,37%,25.0
Jun. 12-16,,The Bullfinch Group,Donald Trump,The Independent Center,1000,,rv,,Disapprove,56%,Approve,42%,14.0
Jun. 12-16,,The Bullfinch Group,Donald Trump,The Independent Center,1200,,a,,Disapprove,56%,Approve,40%,16.0
Jun. 12-16,,The Bullfinch Group,Congress,The Independent Center,1000,,rv,,Disapprove,56%,Approve,36%,20.0
Jun. 12-16,,The Bullfinch Group,Congress,The Independent Center,1200,,a,,Disapprove,54%,Approve,35%,19.0
Jun. 12-15,,Ipsos,Donald Trump,Reuters,1195,,rv,,Disapprove,60%,Approve,40%,20.0
Jun. 12-15,,Ipsos,Donald Trump,Reuters,1537,,a,,Disapprove,62%,Approve,36%,26.0
Jun. 13-15,,YouGov,Donald Trump,The Economist,1403,,rv,,Disapprove,56%,Approve,41%,15.0
Jun. 13-15,,YouGov,Donald Trump,The Economist,1549,,a,,Disapprove,56%,Approve,39%,17.0
Jun. 12-15,,Beacon Research/Shaw & Co. Research,Donald Trump,Fox News,1002,,rv,,Disapprove,60%,Approve,39%,21.0
Jun. 9-15,,Marquette University Law School,Donald Trump,,1514,,a,,Disapprove,62%,Approve,38%,24.0
Jun. 12-15,,Morning Consult,Donald Trump,,2200,,rv,,Disapprove,53%,Approve,43%,10.3
Jun. 11-14,,Echelon Insights,Donald Trump,,1012,,lv,,Disapprove,59%,Approve,40%,19.0
Jun. 3-11,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,56%,Approve,42%,14.0
Jun. 8-11,,Marist University,Donald Trump,NPR/PBS News,1162,,rv,,Disapprove,59%,Approve,38%,21.0
Jun. 8-11,,Marist University,Donald Trump,NPR/PBS News,1340,,a,,Disapprove,59%,Approve,36%,23.0
