Date Range,Grade,Pollster,Subject,Sponsor,Sample Size,Sample Type,Population,Weight,Leading Result,Leading %,Trailing Result,Trailing %,Spread
Jun. 12-15,,Ipsos,2026,Reuters,1195,,rv,,Dem,41%,Rep,38%,3.0
Jun. 12-15,,Ipsos,2026,,1537,,a,,Dem,35%,Rep,31%,4.0
Jun. 13-15,,YouGov,2026,The Economist,1402,,rv,,Dem,46%,Rep,44%,2.0
Jun. 13-15,,YouGov,2026,The Economist,1547,,a,,Dem,39%,Rep,36%,3.0
Jun. 12-13,,The Public Sentiment Institute,2026,,1023,,lv,,Dem,50%,Rep,41%,9.0
Jun. 12-13,,The Public Sentiment Institute,2026,,1042,,rv,,Dem,43%,Rep,34%,9.0
Jun. 5-8,,YouGov,2026,The Economist,1437,,rv,,Dem,45%,Rep,41%,4.0
Jun. 5-8,,YouGov,2026,The Economist,1567,,a,,Dem,37%,Rep,33%,4.0
Jun. 3-8,,Ipsos,2026,Reuters,3578,,rv,,Dem,41%,Rep,37%,4.0
Jun. 3-8,,Ipsos,2026,Reuters,4531,,a,,Dem,35%,Rep,31%,4.0
Jun. 7-8,,Emerson College,2026,,1200,,lv,,Dem,50%,Rep,40%,10.8
Jun. 1-7,,Morning Consult,2026,,24849,,rv,,Dem,46%,Rep,42%,4.0
May. 20-Jun. 7,,HarrisX,2026,Forbes,1137,,lv,,Dem,46%,Rep,45%,1.0
May. 20-Jun. 7,,HarrisX,2026,Forbes,1392,,rv,,Dem,44%,Rep,43%,1.0
May. 20-Jun. 7,,HarrisX,2026,Forbes,2010,,a,,Dem,43%,Rep,42%,1.0
May. 29-Jun. 7,,Hart Research Associates/Public Opinion Strategies,2026,NBC News/More Perfect,2400,,rv,,Dem,49%,Rep,44%,5.0
Jun. 4-6,,Research Co.,2026,,1001,,a,,Dem,38%,Rep,33%,5.0
May. 28-Jun. 5,,Clarity Campaign Labs,2026,,1045,,lv,,Dem,48%,Rep,45%,3.0
Jun. 1-4,,RMG Research,2026,Napolitan Institute,2000,,rv,,Dem,49%,Rep,45%,4.0
Jun. 1-4,,Noble Predictive Insights,2026,The Center Square,2585,,rv,,Dem,47%,Rep,41%,6.0
May. 29-Jun. 3,,The Argument/Verasight,2026,,3008,,rv,,Dem,53%,Rep,47%,6.0
Jun. 2-3,,Cygnal,2026,,1500,,lv,,Dem,49%,Rep,44%,5.0
Jun. 1-2,,Quantus Insights,2026,,1050,,lv,,Dem,47%,Rep,42%,5.0
May. 29-Jun. 2,,The Bullfinch Group,2026,,1200,,a,,Dem,41%,Rep,34%,7.0
May. 29-Jun. 2,,The Bullfinch Group,2026,,1000,,rv,,Dem,42%,Rep,36%,6.0
May. 29-Jun. 1,,YouGov,2026,The Economist,1452,,rv,,Dem,46%,Rep,42%,4.0
May. 29-Jun. 1,,YouGov,2026,The Economist,1603,,a,,Dem,41%,Rep,35%,6.0
May. 29-Jun. 1,,Focaldata,2026,Financial Times,1537,,rv,,Dem,48%,Rep,43%,5.0
